13147	7082+522	0	913	1	84631at147550|scaffold627|+|62|4.717e-13|1|7082|7603|7082[7082]:7603[7603]:522[522]
13149	4310+558	0	987	1	79345at147550|scaffold691|+|68|7.371e-15|1|4310|4867|4310[4310]:4867[4867]:558[558]
16783	19439-1628	0	569	-1	37514at147550|scaffold344|-|410|8.227e-118|2|17812|19439|19439[19439]:18444[18444]:996[996]|18351[18351]:17812[17812]:540[540]
16784	2162+1227	0	2413	1	46366at147550|scaffold376|+|44|1.237e-07|2|2162|3388|2162[2162]:2392[2392]:231[231]|2531[2531]:3388[3388]:858[858]
16786	13272-462	0	364	-1	96223at147550|scaffold440|-|112|4.19e-28|1|12811|13272|13272[13272]:12811[12811]:462[462]
1	12189-822	0	938	-1	34155at147550|scaffold33|-|32|0.0005065|1|11368|12189|12189[12189]:11368[11368]:822[822]
1	113730+828	0	1666	1	83517at147550|scaffold33|+|364|5.789e-104|2|113730|114557|113730[113730]:114200[114200]:471[471]|114327[114327]:114557[114557]:231[231]
7	124582+354	0	1544	1	94278at147550|scaffold225|+|229|2.522e-63|1|124582|124935|124582[124582]:124935[124935]:354[354]
9	48297-8059	0	401	-1	10101at147550|scaffold289|-|195|4.332e-53|2|40239|48297|48297[48297]:48253[48253]:45[45]|42872[42872]:40239[40239]:2634[2634]
5109	45243+1300	0	756	1	64481at147550|scaffold8|+|514|4.056e-149|5|45243|46542|45243[45243]:45293[45293]:51[51]|45433[45445]:45627[45627]:195[183]|45699[45702]:46163[46163]:465[462]|46218[46218]:46361[46361]:144[144]|46414[46414]:46542[46542]:129[129]
5109	107127-1191	0	1830	-1	35906at147550|scaffold8|-|318|4.074e-90|2|105937|107127|107127[107127]:106954[106954]:174[174]|106881[106875]:105937[105937]:945[939]
8037	10867-696	0	1251	-1	56486at147550|scaffold396|-|42|4.946e-07|1|10172|10867|10867[10867]:10172[10172]:696[696]
13859	67092-645	0	200	-1	68418at147550|scaffold84|-|48|7.729e-09|1|66448|67092|67092[67092]:66448[66448]:645[645]
13859	49064+1314	0	774	1	27618at147550|scaffold84|+|171|7.268e-46|1|49064|50377|49064[49064]:50377[50377]:1314[1314]
1450	2+270	0	433	1	100992at147550|C165818|+|123|2.046e-31|1|2|271|2[2]:271[271]:270[270]
13130	53311+52936	0	257	1	37514at147550|scaffold83|+|281|5.599e-79|2|53311|106246|53311[53311]:54870[54870]:1560[1560]|106211[106211]:106246[106246]:36[36]
13130	7037+2083	0	513	1	7814at147550|scaffold83|+|663|5.684e-194|2|7037|9119|7037[7037]:7612[7612]:576[576]|7647[7662]:9119[9119]:1473[1458]
13130	48995+783	0	546	1	56486at147550|scaffold83|+|57|1.51e-11|1|48995|49777|48995[48995]:49777[49777]:783[783]
13130	25441+1551	0	1989	1	26725at147550|scaffold83|+|226|2.017e-62|1|25441|26991|25441[25441]:26991[26991]:1551[1551]
13131	191639+26177	0	189	1	108914at147550|scaffold115|+|47|1.546e-08|2|191639|217815|191639[191639]:191695[191695]:57[57]|217498[217498]:217815[217815]:318[318]
13131	186202-1512	0	381	-1	95964at147550|scaffold115|-|163|1.861e-43|1|184691|186202|186202[186202]:184691[184691]:1512[1512]
13131	154244-993	0	1127	-1	89537at147550|scaffold115|-|345|3.035e-98|1|153252|154244|154244[154244]:153252[153252]:993[993]
