#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold27:94947-98360    -           1114 10101at147550        -            640  4.4e-258  852.4   0.7   1   4   1.2e-07   2.7e-06   20.6   0.0     3    37   297   331   295   352 0.89 -
scaffold27:94947-98360    -           1114 10101at147550        -            640  4.4e-258  852.4   0.7   2   4   4.5e-31     1e-29   98.0   0.0    46   138   379   494   376   502 0.84 -
scaffold27:94947-98360    -           1114 10101at147550        -            640  4.4e-258  852.4   0.7   3   4  2.5e-149  5.7e-148  488.6   0.1   130   470   524   887   514   911 0.91 -
scaffold27:94947-98360    -           1114 10101at147550        -            640  4.4e-258  852.4   0.7   4   4   3.5e-74   7.9e-73  240.4   0.1   463   639   922  1114   915  1114 0.89 -
scaffold32:16673-18826    -            718 10101at147550        -            640   2.7e-93  308.0   6.1   1   3      0.07       1.6    1.5   0.1    73   103    13    43     7    49 0.82 -
scaffold32:16673-18826    -            718 10101at147550        -            640   2.7e-93  308.0   6.1   2   3     9e-48     2e-46  153.1   0.1   108   430    90   461    85   504 0.80 -
scaffold32:16673-18826    -            718 10101at147550        -            640   2.7e-93  308.0   6.1   3   3   2.6e-46   5.8e-45  148.3   0.4   470   616   566   713   555   718 0.90 -
scaffold289:40239-48297   -            893 10101at147550        -            640   2.1e-90  298.5   0.1   1   2   1.8e-49     4e-48  158.8   0.0   111   384     9   297     3   337 0.86 -
scaffold289:40239-48297   -            893 10101at147550        -            640   2.1e-90  298.5   0.1   2   2   4.2e-43   9.4e-42  137.7   0.0   472   639   724   893   715   893 0.90 -
scaffold125:129542-131880 -            744 10101at147550        -            640   1.9e-87  288.7   1.7   1   3     2e-50   4.5e-49  161.9   0.0   113   320     1   219     1   223 0.89 -
scaffold125:129542-131880 -            744 10101at147550        -            640   1.9e-87  288.7   1.7   2   3    0.0046       0.1    5.4   0.0   324   390   252   315   247   369 0.75 -
scaffold125:129542-131880 -            744 10101at147550        -            640   1.9e-87  288.7   1.7   3   3   1.7e-37   3.8e-36  119.2   0.2   486   640   586   744   567   744 0.89 -
scaffold148:50077-52528   -            605 10101at147550        -            640   2.2e-84  278.6   0.1   1   3   2.4e-18   5.4e-17   55.9   0.1   112   209     2    94     1   117 0.86 -
scaffold148:50077-52528   -            605 10101at147550        -            640   2.2e-84  278.6   0.1   2   3   7.6e-29   1.7e-27   90.6   0.0   222   385   178   358   165   386 0.84 -
