#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold274:29677-30424   -            160 88177at147550        -            139   1.3e-70  233.8   0.9   1   1   3.8e-73   1.6e-70  233.6   0.9     1   139     2   160     2   160 0.93 -
scaffold203:75264-76568   -            393 88177at147550        -            139   7.3e-49  163.4   0.1   1   1   2.4e-51     1e-48  162.9   0.1     6   138    31   181    25   182 0.85 -
scaffold271:24121-24759   -            148 88177at147550        -            139   1.6e-44  149.4   0.4   1   1   4.7e-47     2e-44  149.0   0.4     7   126    12   139     7   147 0.90 -
scaffold316:58367-59650   -            287 88177at147550        -            139     1e-42  143.5   1.7   1   1   3.6e-45   1.5e-42  142.9   1.7     2   127    48   180    47   197 0.86 -
scaffold250:304200-304598 -            133 88177at147550        -            139   1.5e-27   94.3   0.4   1   1   4.4e-30   1.8e-27   94.1   0.4    34   130    13   119     3   131 0.89 -
scaffold50:513257-518764  -           1074 88177at147550        -            139   2.2e-27   93.8   0.7   1   2     0.088        37    2.4   0.1    86   134    68   112    57   116 0.80 -
scaffold50:513257-518764  -           1074 88177at147550        -            139   2.2e-27   93.8   0.7   2   2   1.5e-28   6.2e-26   89.1   0.1     7   127   474   596   468   601 0.87 -
scaffold429:43834-44307   -            158 88177at147550        -            139   7.3e-26   88.9   0.0   1   1   3.5e-28   1.4e-25   87.9   0.0     7   129     6   138     2   146 0.84 -
scaffold585:5539-7337     -            576 88177at147550        -            139   3.1e-23   80.3   0.1   1   1   1.6e-25   6.7e-23   79.3   0.1     8   125   338   458   330   471 0.80 -
scaffold419:11206-11800   -            167 88177at147550        -            139   5.4e-16   56.9   0.0   1   1   1.7e-18     7e-16   56.5   0.0     7   120    14   137     7   147 0.81 -
scaffold868:5969-7678     -            570 88177at147550        -            139   3.7e-09   34.7   0.3   1   2   0.00027      0.11   10.5   0.0     7    66    26    80    22    86 0.85 -
scaffold868:5969-7678     -            570 88177at147550        -            139   3.7e-09   34.7   0.3   2   2   7.6e-08   3.2e-05   22.0   0.1    67   112   108   160    94   175 0.73 -
scaffold7:75168-76361     -            398 88177at147550        -            139   5.1e-08   31.1   0.1   1   2   8.6e-10   3.6e-07   28.3   0.0     6   123    13   153     8   159 0.71 -
scaffold7:75168-76361     -            398 88177at147550        -            139   5.1e-08   31.1   0.1   2   2       5.4   2.3e+03   -3.4   0.0     5    35   325   355   324   357 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/88177at147550.hmm
# Target file:     /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas
# Option settings: hmmsearch --domtblout /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/hmmer_output/initial_run_results/88177at147550.out --cpu 1 /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/88177at147550.hmm /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas 
# Current dir:     /pickett_shared/projects/lwy647/discula_draft_assembly
# Date:            Thu Aug 31 18:12:04 2023
# [ok]
