#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold213:36030-37283 -            377 54895at147550        -            276  1.1e-154  511.5  15.7   1   2  1.9e-100   1.8e-97  323.9   5.4     1   183    30   229    30   243 0.90 -
scaffold213:36030-37283 -            377 54895at147550        -            276  1.1e-154  511.5  15.7   2   2   5.3e-59   4.8e-56  188.0   2.6   187   276   281   370   246   370 0.84 -
scaffold204:69965-71483 -            489 54895at147550        -            276   1.9e-42  143.4   0.9   1   2   4.1e-26   3.8e-23   80.1   0.2     9   158   116   280   108   289 0.80 -
scaffold204:69965-71483 -            489 54895at147550        -            276   1.9e-42  143.4   0.9   2   2   2.4e-20   2.2e-17   61.2   0.0   202   269   418   484   410   488 0.95 -
scaffold94:82357-83772  -            472 54895at147550        -            276   2.9e-16   57.5   4.4   1   3   0.00078      0.71    7.0   0.1   202   253   194   245   168   266 0.74 -
scaffold94:82357-83772  -            472 54895at147550        -            276   2.9e-16   57.5   4.4   2   3   1.7e-07   0.00015   19.1   0.1   203   272   304   373   285   377 0.88 -
scaffold94:82357-83772  -            472 54895at147550        -            276   2.9e-16   57.5   4.4   3   3   2.3e-11   2.1e-08   31.8   0.3   181   271   385   471   378   472 0.87 -
scaffold357:9225-13178  -           1318 54895at147550        -            276   4.2e-09   34.0   1.3   1   5   5.2e-05     0.048   10.9   0.0   201   241   231   271   215   277 0.86 -
scaffold357:9225-13178  -           1318 54895at147550        -            276   4.2e-09   34.0   1.3   2   5     0.039        35    1.5   0.0    31    55   739   763   718   831 0.60 -
scaffold357:9225-13178  -           1318 54895at147550        -            276   4.2e-09   34.0   1.3   3   5     0.024        22    2.1   0.0    24    53   892   921   881   934 0.79 -
scaffold357:9225-13178  -           1318 54895at147550        -            276   4.2e-09   34.0   1.3   4   5     0.014        13    2.9   0.0    18   114  1059  1155  1049  1164 0.78 -
scaffold357:9225-13178  -           1318 54895at147550        -            276   4.2e-09   34.0   1.3   5   5   0.00012      0.11    9.7   0.0   215   261  1256  1299  1239  1308 0.80 -
scaffold213:38674-40128 -            416 54895at147550        -            276   0.00089   16.5   0.4   1   2      0.59   5.4e+02   -2.4   0.0    30    76    28    77    24    85 0.72 -
scaffold213:38674-40128 -            416 54895at147550        -            276   0.00089   16.5   0.4   2   2   2.3e-06    0.0021   15.3   0.2    48    83   313   348   302   373 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/54895at147550.hmm
# Target file:     /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas
# Option settings: hmmsearch --domtblout /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/hmmer_output/initial_run_results/54895at147550.out --cpu 1 /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/54895at147550.hmm /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas 
# Current dir:     /pickett_shared/projects/lwy647/discula_draft_assembly
# Date:            Thu Aug 31 18:12:00 2023
# [ok]
