#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold110:132194-134510 -            705 20378at147550        -            432  1.2e-228  757.2  12.1   1   2  7.4e-167  2.1e-164  545.6   7.3     1   324   145   539   145   542 0.89 -
scaffold110:132194-134510 -            705 20378at147550        -            432  1.2e-228  757.2  12.1   2   2   7.2e-65   2.1e-62  209.5   0.1   323   432   566   681   563   681 0.96 -
scaffold626:27647-29350   -            568 20378at147550        -            432  1.1e-116  388.4   0.5   1   1  1.8e-118  5.2e-116  386.1   0.5     5   405   107   568   103   568 0.84 -
scaffold71:172236-174939  -            876 20378at147550        -            432   3.8e-16   57.1   0.3   1   2   4.8e-16   1.4e-13   48.6   0.1    78   233   189   362   161   371 0.77 -
scaffold71:172236-174939  -            876 20378at147550        -            432   3.8e-16   57.1   0.3   2   2    0.0036         1    6.2   0.0   240   318   392   468   374   471 0.82 -
scaffold733:5736-8369     -            878 20378at147550        -            432     1e-09   35.9   0.1   1   1   8.9e-12   2.5e-09   34.6   0.1    77   232   290   464   272   470 0.76 -
scaffold395:57849-60964   -            898 20378at147550        -            432     2e-09   34.9   0.0   1   1   1.9e-11   5.5e-09   33.5   0.0   145   320   388   594   301   600 0.73 -
scaffold137:101503-104646 -            919 20378at147550        -            432   2.7e-09   34.5   0.1   1   1   5.5e-11   1.6e-08   32.0   0.1    80   222   297   457   291   613 0.61 -
scaffold513:611-3727      -            930 20378at147550        -            432   4.3e-09   33.8   0.1   1   2   6.1e-09   1.7e-06   25.2   0.1    78   233   219   390   209   398 0.73 -
scaffold513:611-3727      -            930 20378at147550        -            432   4.3e-09   33.8   0.1   2   2    0.0035         1    6.3   0.0   236   295   417   471   410   478 0.84 -
scaffold228:15539-18158   -            691 20378at147550        -            432   3.7e-08   30.8   0.1   1   1   4.4e-10   1.3e-07   29.0   0.1    78   234   280   466   265   490 0.73 -
scaffold40:203042-204535  -            498 20378at147550        -            432   1.4e-05   22.2   0.0   1   1   9.5e-08   2.7e-05   21.3   0.0   175   229   245   299   231   335 0.89 -
scaffold50:549747-551327  -            527 20378at147550        -            432   2.2e-05   21.6   0.2   1   1   1.8e-07   5.2e-05   20.4   0.2    82   231   203   376   195   384 0.73 -
scaffold217:254381-255689 -            419 20378at147550        -            432   2.7e-05   21.3   0.0   1   1   1.4e-07     4e-05   20.7   0.0    89   216    64   211     3   223 0.63 -
scaffold27:249960-252989  -            784 20378at147550        -            432   0.00012   19.2   0.0   1   1   6.3e-07   0.00018   18.6   0.0   149   220   245   321   217   326 0.78 -
scaffold197:56988-60258   -           1056 20378at147550        -            432   0.00065   16.8   0.0   1   2   0.00038      0.11    9.4   0.0    76   126   302   353   295   390 0.74 -
scaffold197:56988-60258   -           1056 20378at147550        -            432   0.00065   16.8   0.0   2   2     0.011       3.2    4.6   0.0   198   225   482   509   476   518 0.89 -
scaffold371:29678-31095   -            438 20378at147550        -            432    0.0008   16.5   0.1   1   1   4.5e-06    0.0013   15.8   0.1   175   220   127   172   120   188 0.88 -
scaffold151:61920-63080   -            387 20378at147550        -            432    0.0026   14.8   0.0   1   1   1.3e-05    0.0038   14.2   0.0   164   213   128   177   106   187 0.84 -
scaffold216:11618-14635   -            985 20378at147550        -            432    0.0065   13.5   0.0   1   1   3.5e-05      0.01   12.9   0.0    78   226   261   429   226   435 0.64 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/20378at147550.hmm
# Target file:     /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas
# Option settings: hmmsearch --domtblout /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/hmmer_output/initial_run_results/20378at147550.out --cpu 1 /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/20378at147550.hmm /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas 
# Current dir:     /pickett_shared/projects/lwy647/discula_draft_assembly
# Date:            Thu Aug 31 18:11:44 2023
# [ok]
