#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold50:21277-22404  -            376 88492at147550        -            225   1.4e-62  209.7  43.8   1   6   3.5e-16     8e-13   47.0   0.1     2    53     1    60     1    63 0.93 -
scaffold50:21277-22404  -            376 88492at147550        -            225   1.4e-62  209.7  43.8   2   6   5.7e-19   1.3e-15   56.1   4.3    38   105    67   144    62   150 0.79 -
scaffold50:21277-22404  -            376 88492at147550        -            225   1.4e-62  209.7  43.8   3   6   4.8e-06     0.011   13.8   3.8    86   134   149   201   143   209 0.69 -
scaffold50:21277-22404  -            376 88492at147550        -            225   1.4e-62  209.7  43.8   4   6     2e-11   4.5e-08   31.4   0.1   130   163   221   254   219   262 0.93 -
scaffold50:21277-22404  -            376 88492at147550        -            225   1.4e-62  209.7  43.8   5   6    0.0055        13    3.8   2.1   160   183   282   305   278   312 0.76 -
scaffold50:21277-22404  -            376 88492at147550        -            225   1.4e-62  209.7  43.8   6   6   2.6e-26   5.9e-23   80.1   9.4   148   225   295   376   288   376 0.88 -
scaffold226:55877-58714 -            946 88492at147550        -            225   0.00014   20.1   3.9   1   2         2   4.6e+03   -7.8   4.9   165   180   108   123    90   124 0.61 -
scaffold226:55877-58714 -            946 88492at147550        -            225   0.00014   20.1   3.9   2   2   5.9e-08   0.00014   20.1   3.9    35   109   210   291   196   320 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/88492at147550.hmm
# Target file:     /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas
# Option settings: hmmsearch --domtblout /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/hmmer_output/initial_run_results/88492at147550.out --cpu 1 /pickett_shared/projects/lwy647/discula_draft_assembly/busco_downloads/lineages/sordariomycetes_odb10/hmms/88492at147550.hmm /pickett_shared/projects/lwy647/discula_draft_assembly/discula70_53.scafSeq.BUSCO/run_sordariomycetes_odb10/metaeuk_output/initial_results/discula70_53.scafSeq.modified.fas 
# Current dir:     /pickett_shared/projects/lwy647/discula_draft_assembly
# Date:            Thu Aug 31 18:12:06 2023
# [ok]
